編號,資料來源,資料名稱,我們的建議分類,主要欄位,分類及編號,資料集描述,主要欄位說明
752,臺北市政府主計處,104年度臺北市地方總預算,12,報告書,公共資訊,104年度臺北市地方總預算,報告書
753,臺北市政府兵役局,補助私人團體經費報告,12,"受補助私人團體名稱,實施日期,活動名稱,活動內容摘要,科目名稱,核定額,已撥付額,實支數,審核及處理結果",服兵役,臺北市政府兵役局補助私人團體經費報告,"受補助私人團體名稱,實施日期,活動名稱,活動內容摘要,科目名稱,核定額,已撥付額,實支數,審核及處理結果"
754,臺北市中正區公所,臺北市各區里疏散避難圖資訊(中正區),14,區、里、圖檔連結網址,公共資訊,提供臺北市各區里疏散避難圖資訊,區、里、圖檔連結網址
755,臺北市中山區公所,臺北市各區里疏散避難圖資訊(中山區),14,區、里、圖檔連結網址,公共資訊,提供臺北市各區里疏散避難圖資訊,區、里、圖檔連結網址
756,臺北市內湖區公所,臺北市各區里疏散避難圖資訊(內湖區),14,區、里、圖檔連結網址,公共資訊,提供臺北市各區里疏散避難圖資訊,區、里、圖檔連結網址
757,臺北市政府兵役局,替代役申請人數統計表,2,"鄉鎮市區,一般資格,家庭因素,宗教因素,專長資格,志工資格,研發替代,合計,當年次,備考",服兵役,臺北市替代役申請人數統計,"鄉鎮市區,一般資格,家庭因素,宗教因素,專長資格,志工資格,研發替代,合計,當年次,備考"
758,臺北市政府社會局,社會福利統計_弱勢少年自立生活經濟扶助,903,社會福利統計_弱勢少年自立生活經濟扶助,公共資訊,社會福利統計_弱勢少年自立生活經濟扶助資料呈現於【社會局局網>兒童及少年服務>統計資料】,社會福利統計_弱勢少年自立生活經濟扶助
759,臺北市政府社會局,社會福利統計_危機家庭兒童及少年委託安置費用補助,903,社會福利統計_危機家庭兒童及少年委託安置費用補助,公共資訊,社會福利統計_危機家庭兒童及少年委託安置費用補助資料呈現於【社會局局網>兒童及少年服務>統計資料】,社會福利統計_危機家庭兒童及少年委託安置費用補助
760,臺北市政府社會局,社會福利統計_臺北市弱勢兒童及少年醫療補助,903,社會福利統計_臺北市弱勢兒童及少年醫療補助,公共資訊,社會福利統計_臺北市弱勢兒童及少年醫療補助資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】,社會福利統計_臺北市弱勢兒童及少年醫療補助
761,臺北市政府社會局,社會福利統計_寄養服務業務,903,社會福利統計_寄養服務業務,公共資訊,社會福利統計_寄養服務業務資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】,社會福利統計_寄養服務業務
762,臺北市政府社會局,社會福利統計_兒少關懷據點,903,社會福利統計_兒少關懷據點,公共資訊,社會福利統計_兒少關懷據點資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】,社會福利統計_兒少關懷據點
763,臺北市政府社會局,社會福利統計_兒童服務中心-個案家庭輔導服務,903,社會福利統計_兒童服務中心-個案家庭輔導服務,公共資訊,社會福利統計_兒童服務中心-個案家庭輔導服務資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】,社會福利統計_兒童服務中心-個案家庭輔導服務
764,臺北市政府社會局,社會福利統計_少年服務中心-個案家庭輔導服務,903,社會福利統計_少年服務中心-個案家庭輔導服務,公共資訊,社會福利統計_少年服務中心-個案家庭輔導服務資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】,社會福利統計_少年服務中心-個案家庭輔導服務
765,臺北市政府社會局,社會福利統計_弱勢家庭兒童及少年緊急生活扶助申請,903,社會福利統計_弱勢家庭兒童及少年緊急生活扶助申請,公共資訊,社會福利統計_弱勢家庭兒童及少年緊急生活扶助申請資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】,社會福利統計_弱勢家庭兒童及少年緊急生活扶助申請
766,臺北市政府社會局,社會福利統計_婦女中途之家,902,社會福利統計_婦女中途之家,公共資訊,社會福利統計_婦女中途之家資料呈現於【社會局局網> 統計資料 > 相關業務年度統計】,社會福利統計_婦女中途之家
767,臺北市政府社會局,社會福利統計_新移民(外籍配偶),9,社會福利統計_新移民(外籍配偶),公共資訊,社會福利統計_新移民(外籍配偶)資料呈現於【社會局局網> 婦女服務 > 統計資料】,社會福利統計_新移民(外籍配偶)
768,臺北市政府社會局,社會福利統計_特殊境遇家庭扶助申請,9,社會福利統計_特殊境遇家庭扶助申請,公共資訊,社會福利統計_特殊境遇家庭扶助申請資料呈現於【社會局局網 > 婦女服務 > 統計資料】,社會福利統計_特殊境遇家庭扶助申請
769,臺北市政府社會局,社會福利統計_老人長期照顧、安養機構概況,901,社會福利統計_老人長期照顧、安養機構概況,公共資訊,社會福利統計_老人長期照顧、安養機構概況資料呈現於【社會局> 統計資料 > 預告統計資料發布時間表】,社會福利統計_老人長期照顧、安養機構概況
770,臺北市政府社會局,社會福利統計_老人健保自付額補助,901,社會福利統計_老人健保自付額補助,公共資訊,社會福利統計_老人健保自付額補助資料呈現於【社會局局網>銀髮族服務 > 統計資料】,社會福利統計_老人健保自付額補助
771,臺北市政府社會局,社會福利統計_國民年金保險所得未達一定標準補助,904,社會福利統計_國民年金保險所得未達一定標準補助,公共資訊,"社會福利統計_國民年金保險所得未達一定標準補助資料呈現於 【社會局局網> 社會救助 > 統計資料】
",社會福利統計_國民年金保險所得未達一定標準補助
772,臺北市政府社會局,社會福利統計_臺北市市民醫療補助,3,社會福利統計_臺北市市民醫療補助,公共資訊,社會福利統計_臺北市市民醫療補助資料呈現於【社會局局網> 社會救助 > 統計資料】,社會福利統計_臺北市市民醫療補助
773,臺北市政府社會局,社會福利統計_受理基金會申請設立許可,12,社會福利統計_受理基金會申請設立許可,公共資訊,社會福利統計_受理基金會申請設立許可資料呈現於【社會局局網 > 統計資料 > 相關業務年度統計】,社會福利統計_受理基金會申請設立許可
774,臺北市政府社會局,社會福利統計_中低收入老人假牙補助,904,社會福利統計_中低收入老人假牙補助,公共資訊,社會福利統計_中低收入老人假牙補助資料呈現於【社會局局網> 銀髮族服務 > 統計資料】,社會福利統計_中低收入老人假牙補助
775,臺北市政府社會局,社會福利統計_臨時看護補助,9,社會福利統計_臨時看護補助,公共資訊,"社會福利統計_臨時看護補助資料呈現於【社會局局網>統計資料 > 預告統計資料發布時間表】
",社會福利統計_臨時看護補助
776,臺北市政府社會局,社會福利統計_低收入戶暨中低收入戶生育補助申請,904,社會福利統計_低收入戶暨中低收入戶生育補助申請,公共資訊,"社會福利統計_低收入戶暨中低收入戶生育補助申請資料呈現於【社會局局網> 社會救助 > 統計資料】
",社會福利統計_低收入戶暨中低收入戶生育補助申請
777,臺北市政府社會局,社會福利統計_低收入戶暨中低收入戶輔導就業服務,904,低收入戶暨中低收入戶輔導就業服務,公共資訊,社會福利統計_低收入戶暨中低收入戶輔導就業服務資料呈現於【社會局局網> 社會救助 > 統計資料】,低收入戶暨中低收入戶輔導就業服務
778,臺北市政府社會局,社會福利統計_急難救助,14,社會福利統計_急難救助,公共資訊,社會福利統計_急難救助資料呈現於【社會局局網> 社會救助 > 統計資料】,社會福利統計_急難救助
779,臺北市政府社會局,社會福利統計_志願服務,12,社會福利統計_志願服務,公共資訊,社會福利統計_志願服務資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】,社會福利統計_志願服務
780,臺北市政府社會局,社會福利統計_社會工作師管理,12,社會福利統計_社會工作師管理,公共資訊,"社會福利統計_社會工作師管理資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】
",社會福利統計_社會工作師管理
781,臺北市政府社會局,社會福利統計_高風險家庭服務,9,社會福利統計_高風險家庭服務,公共資訊,社會福利統計_高風險家庭服務資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】,社會福利統計_高風險家庭服務
782,臺北市政府社會局,社會福利統計_社會工作個案服務,12,社會福利統計_社會工作個案服務,公共資訊,社會福利統計_社會工作個案服務資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】,社會福利統計_社會工作個案服務
783,臺北市政府社會局,社會福利統計_議會工作報告,12,社會福利統計_議會工作報告,公共資訊,社會福利統計_議會工作報告資料呈現於【社會局局網> 定期報告 > 議會工作報告】,社會福利統計_議會工作報告
784,臺北市政府社會局,社會福利統計_施政報告,12,社會福利統計_施政報告,公共資訊,社會福利統計_施政報告資料呈現於【社會局局網> 定期報告 > 施政計畫】,社會福利統計_施政報告
785,臺北市政府社會局,社會福利統計_兒少安置機構管理,903,社會福利統計_兒少安置機構管理,公共資訊,"社會福利統計_兒少安置機構管理資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】
",社會福利統計_兒少安置機構管理
786,臺北市政府社會局,社會福利統計_臺北市公辦民營托嬰中心登記就托,903,社會福利統計_臺北市公辦民營托嬰中心登記就托,公共資訊,社會福利統計_臺北市公辦民營托嬰中心登記就托資料呈現於【社會局局網> 嬰幼兒照顧服務 > 公辦民營托嬰中心】,社會福利統計_臺北市公辦民營托嬰中心登記就托
